BillingInfoNode;DeliveryAddressNode;ProcessReservationNode;SelectModeOfReciptNode;PaymentInfoNode;ProcessPaymentNode;TravelInfoNode
572.0;n/a;153.0;369.0;900.0;530.0;487.0
100.0;n/a;182.0;507.0;255.0;662.0;167.0
936.0;725.0;902.0;360.0;905.0;664.0;529.0
928.0;635.0;401.0;610.0;432.0;465.0;193.0
964.0;n/a;661.0;412.0;141.0;977.0;119.0
610.0;818.0;544.0;102.0;950.0;575.0;276.0
625.0;240.0;777.0;226.0;494.0;183.0;955.0
430.0;390.0;314.0;215.0;680.0;429.0;408.0
88.0;n/a;29.0;113.0;334.0;999.0;762.0
656.0;132.0;709.0;364.0;570.0;297.0;500.0
579.0;992.0;347.0;344.0;965.0;715.0;188.0
569.0;n/a;318.0;529.0;190.0;327.0;77.0
413.0;399.0;469.0;104.0;830.0;431.0;556.0
830.0;446.0;293.0;777.0;15.0;970.0;973.0
432.0;n/a;831.0;950.0;73.0;773.0;524.0
356.0;49.0;176.0;402.0;510.0;155.0;365.0
233.0;n/a;65.0;270.0;230.0;865.0;136.0
558.0;306.0;211.0;614.0;582.0;506.0;852.0
150.0;558.0;104.0;405.0;733.0;913.0;697.0
67.0;n/a;881.0;737.0;87.0;526.0;294.0
762.0;n/a;320.0;761.0;658.0;178.0;534.0
359.0;58.0;994.0;220.0;521.0;56.0;623.0
953.0;n/a;153.0;624.0;866.0;964.0;861.0
408.0;740.0;816.0;918.0;141.0;70.0;421.0
645.0;756.0;754.0;513.0;920.0;441.0;103.0
937.0;n/a;574.0;684.0;751.0;631.0;301.0
675.0;n/a;889.0;355.0;322.0;377.0;658.0
858.0;732.0;661.0;592.0;8.0;605.0;599.0
342.0;n/a;136.0;207.0;751.0;769.0;61.0
906.0;488.0;348.0;300.0;361.0;821.0;233.0
128.0;648.0;0.0;902.0;879.0;406.0;111.0
636.0;n/a;539.0;332.0;454.0;635.0;113.0
815.0;831.0;457.0;935.0;393.0;439.0;627.0
26.0;n/a;2.0;486.0;868.0;55.0;752.0
172.0;n/a;991.0;976.0;189.0;450.0;623.0
351.0;715.0;84.0;633.0;828.0;220.0;6.0
575.0;57.0;356.0;154.0;260.0;329.0;89.0
540.0;218.0;567.0;603.0;363.0;695.0;614.0
728.0;62.0;909.0;629.0;158.0;830.0;380.0
942.0;n/a;644.0;586.0;459.0;956.0;962.0
28.0;n/a;905.0;509.0;173.0;77.0;168.0
321.0;451.0;92.0;933.0;750.0;295.0;632.0
267.0;n/a;123.0;665.0;124.0;152.0;959.0
57.0;n/a;550.0;362.0;270.0;736.0;511.0
858.0;640.0;15.0;41.0;210.0;922.0;322.0
738.0;n/a;753.0;129.0;189.0;969.0;632.0
294.0;23.0;856.0;439.0;547.0;556.0;654.0
891.0;n/a;92.0;456.0;996.0;378.0;797.0
460.0;n/a;716.0;49.0;177.0;403.0;485.0
676.0;n/a;592.0;615.0;551.0;930.0;817.0
363.0;384.0;283.0;199.0;46.0;456.0;412.0
453.0;n/a;485.0;622.0;918.0;137.0;260.0
9.0;n/a;191.0;467.0;487.0;602.0;610.0
307.0;n/a;483.0;626.0;741.0;948.0;55.0
273.0;444.0;357.0;558.0;932.0;440.0;142.0
629.0;585.0;116.0;18.0;222.0;282.0;571.0
545.0;n/a;835.0;612.0;158.0;820.0;555.0
918.0;246.0;755.0;781.0;593.0;732.0;555.0
383.0;n/a;179.0;49.0;220.0;518.0;748.0
629.0;n/a;656.0;836.0;33.0;406.0;81.0
818.0;n/a;412.0;627.0;816.0;334.0;486.0
467.0;n/a;221.0;409.0;923.0;963.0;191.0
477.0;188.0;726.0;350.0;745.0;503.0;854.0
574.0;19.0;276.0;509.0;995.0;309.0;240.0
480.0;242.0;47.0;138.0;15.0;193.0;631.0
1.0;n/a;579.0;603.0;485.0;574.0;435.0
106.0;n/a;814.0;591.0;928.0;824.0;634.0
533.0;26.0;254.0;916.0;959.0;967.0;382.0
20.0;n/a;978.0;402.0;175.0;613.0;111.0
483.0;278.0;5.0;41.0;213.0;207.0;381.0
776.0;934.0;141.0;785.0;437.0;638.0;232.0
321.0;n/a;163.0;301.0;934.0;708.0;482.0
766.0;n/a;362.0;870.0;967.0;716.0;40.0
30.0;45.0;238.0;685.0;301.0;975.0;962.0
60.0;90.0;403.0;77.0;171.0;26.0;822.0
416.0;n/a;506.0;201.0;813.0;352.0;351.0
648.0;507.0;599.0;551.0;816.0;309.0;625.0
17.0;265.0;852.0;894.0;273.0;806.0;673.0
945.0;n/a;425.0;949.0;549.0;45.0;270.0
775.0;n/a;254.0;336.0;290.0;706.0;575.0
937.0;999.0;346.0;761.0;169.0;960.0;598.0
794.0;371.0;532.0;39.0;545.0;316.0;163.0
731.0;578.0;806.0;515.0;767.0;707.0;479.0
984.0;n/a;309.0;331.0;375.0;480.0;231.0
366.0;105.0;370.0;209.0;442.0;664.0;314.0
464.0;n/a;343.0;533.0;598.0;832.0;249.0
504.0;678.0;766.0;187.0;898.0;139.0;102.0
888.0;n/a;164.0;18.0;179.0;803.0;611.0
371.0;n/a;802.0;971.0;641.0;189.0;214.0
56.0;n/a;881.0;630.0;563.0;685.0;526.0
922.0;806.0;133.0;421.0;342.0;37.0;999.0
452.0;n/a;890.0;360.0;699.0;828.0;712.0
811.0;n/a;28.0;89.0;336.0;870.0;388.0
945.0;n/a;437.0;414.0;356.0;801.0;438.0
799.0;946.0;794.0;976.0;135.0;290.0;951.0
655.0;379.0;984.0;689.0;382.0;59.0;241.0
14.0;428.0;365.0;391.0;777.0;434.0;782.0
663.0;n/a;899.0;228.0;741.0;791.0;867.0
476.0;n/a;131.0;498.0;734.0;65.0;999.0
909.0;801.0;850.0;234.0;198.0;571.0;318.0
308.0;n/a;472.0;553.0;225.0;168.0;412.0
53.0;34.0;347.0;493.0;596.0;579.0;527.0
711.0;n/a;905.0;937.0;164.0;650.0;889.0
334.0;3.0;144.0;35.0;485.0;796.0;955.0
835.0;661.0;617.0;499.0;108.0;298.0;519.0
45.0;n/a;771.0;353.0;792.0;647.0;229.0
165.0;n/a;102.0;540.0;606.0;314.0;228.0
525.0;203.0;842.0;918.0;832.0;895.0;894.0
568.0;n/a;131.0;487.0;994.0;561.0;29.0
891.0;n/a;901.0;571.0;377.0;854.0;686.0
636.0;256.0;751.0;998.0;103.0;476.0;317.0
561.0;n/a;518.0;941.0;782.0;612.0;255.0
888.0;n/a;225.0;36.0;418.0;512.0;338.0
568.0;n/a;255.0;764.0;415.0;149.0;617.0
360.0;n/a;115.0;472.0;525.0;66.0;279.0
397.0;370.0;927.0;772.0;632.0;972.0;500.0
979.0;n/a;859.0;840.0;505.0;110.0;704.0
505.0;562.0;526.0;327.0;592.0;393.0;676.0
842.0;560.0;531.0;178.0;256.0;12.0;204.0
582.0;133.0;914.0;243.0;206.0;196.0;450.0
829.0;n/a;653.0;151.0;982.0;670.0;177.0
858.0;n/a;14.0;257.0;913.0;605.0;805.0
612.0;485.0;754.0;488.0;191.0;384.0;460.0
272.0;n/a;224.0;134.0;737.0;643.0;57.0
643.0;n/a;79.0;512.0;585.0;877.0;341.0
757.0;392.0;254.0;971.0;51.0;986.0;620.0
166.0;n/a;187.0;515.0;138.0;639.0;605.0
686.0;863.0;278.0;199.0;235.0;326.0;257.0
538.0;n/a;634.0;64.0;456.0;304.0;136.0
798.0;11.0;363.0;866.0;316.0;360.0;96.0
514.0;706.0;848.0;590.0;589.0;524.0;955.0
372.0;616.0;66.0;145.0;273.0;237.0;371.0
787.0;n/a;149.0;584.0;639.0;985.0;28.0
713.0;n/a;412.0;541.0;665.0;288.0;190.0
977.0;n/a;792.0;273.0;39.0;843.0;451.0
965.0;n/a;986.0;24.0;126.0;214.0;41.0
124.0;n/a;559.0;60.0;554.0;100.0;401.0
637.0;n/a;165.0;375.0;385.0;851.0;80.0
690.0;989.0;618.0;174.0;730.0;551.0;456.0
179.0;n/a;974.0;687.0;802.0;605.0;955.0
175.0;n/a;209.0;71.0;570.0;502.0;910.0
667.0;n/a;820.0;824.0;927.0;729.0;918.0
912.0;n/a;869.0;73.0;794.0;966.0;359.0
737.0;656.0;421.0;558.0;107.0;436.0;736.0
665.0;476.0;19.0;705.0;164.0;55.0;304.0
959.0;n/a;792.0;482.0;263.0;620.0;713.0
376.0;n/a;196.0;925.0;141.0;469.0;223.0
235.0;n/a;677.0;0.0;51.0;120.0;44.0
87.0;n/a;90.0;648.0;418.0;998.0;33.0
85.0;n/a;504.0;98.0;17.0;340.0;24.0
190.0;654.0;779.0;857.0;580.0;547.0;126.0
992.0;615.0;605.0;849.0;348.0;99.0;73.0
355.0;n/a;29.0;496.0;24.0;104.0;653.0
92.0;715.0;129.0;370.0;485.0;933.0;117.0
990.0;n/a;364.0;890.0;887.0;320.0;311.0
940.0;806.0;70.0;396.0;168.0;287.0;359.0
615.0;723.0;2.0;914.0;82.0;348.0;932.0
350.0;n/a;85.0;594.0;790.0;707.0;734.0
174.0;n/a;722.0;917.0;438.0;651.0;987.0
958.0;n/a;56.0;337.0;438.0;975.0;615.0
225.0;514.0;244.0;47.0;15.0;519.0;265.0
523.0;n/a;400.0;187.0;246.0;187.0;127.0
447.0;n/a;925.0;301.0;628.0;76.0;301.0
375.0;n/a;437.0;146.0;88.0;722.0;642.0
174.0;873.0;916.0;25.0;767.0;384.0;287.0
494.0;n/a;20.0;885.0;511.0;628.0;853.0
278.0;986.0;998.0;541.0;272.0;162.0;789.0
610.0;n/a;668.0;442.0;571.0;674.0;30.0
902.0;545.0;425.0;150.0;449.0;1.0;819.0
435.0;438.0;42.0;42.0;776.0;276.0;909.0
142.0;n/a;530.0;164.0;801.0;98.0;542.0
198.0;n/a;707.0;380.0;982.0;738.0;784.0
243.0;n/a;302.0;312.0;684.0;622.0;759.0
385.0;n/a;994.0;83.0;938.0;622.0;193.0
592.0;992.0;694.0;20.0;888.0;589.0;738.0
500.0;31.0;341.0;372.0;461.0;941.0;853.0
872.0;110.0;393.0;612.0;405.0;355.0;142.0
742.0;n/a;374.0;107.0;901.0;831.0;476.0
496.0;n/a;348.0;329.0;350.0;101.0;79.0
371.0;615.0;634.0;542.0;89.0;458.0;904.0
512.0;682.0;492.0;915.0;548.0;903.0;112.0
184.0;n/a;475.0;38.0;449.0;197.0;192.0
721.0;393.0;447.0;459.0;854.0;421.0;266.0
776.0;n/a;812.0;596.0;693.0;239.0;921.0
582.0;874.0;963.0;821.0;842.0;914.0;999.0
995.0;811.0;418.0;239.0;8.0;46.0;857.0
490.0;236.0;692.0;1.0;165.0;182.0;783.0
33.0;n/a;389.0;398.0;237.0;466.0;490.0
907.0;n/a;126.0;113.0;942.0;959.0;613.0
395.0;477.0;799.0;127.0;565.0;377.0;798.0
50.0;n/a;955.0;393.0;283.0;128.0;734.0
417.0;517.0;30.0;541.0;971.0;524.0;469.0
186.0;n/a;73.0;675.0;116.0;893.0;346.0
88.0;913.0;737.0;841.0;376.0;870.0;848.0
209.0;862.0;163.0;8.0;435.0;988.0;217.0
454.0;n/a;287.0;488.0;475.0;348.0;998.0
950.0;857.0;391.0;544.0;872.0;718.0;374.0
533.0;n/a;501.0;29.0;406.0;990.0;910.0
754.0;n/a;399.0;866.0;813.0;46.0;233.0
36.0;722.0;93.0;240.0;66.0;558.0;84.0
893.0;607.0;398.0;287.0;986.0;935.0;492.0
892.0;n/a;272.0;169.0;849.0;960.0;996.0
578.0;916.0;516.0;486.0;608.0;350.0;431.0
356.0;n/a;377.0;949.0;573.0;37.0;397.0
113.0;n/a;362.0;170.0;596.0;124.0;635.0
85.0;n/a;47.0;643.0;924.0;510.0;216.0
306.0;146.0;895.0;669.0;182.0;229.0;62.0
126.0;n/a;314.0;205.0;779.0;552.0;71.0
62.0;n/a;631.0;384.0;533.0;947.0;934.0
684.0;899.0;489.0;149.0;736.0;845.0;596.0
799.0;39.0;923.0;743.0;343.0;344.0;589.0
410.0;n/a;638.0;408.0;955.0;699.0;937.0
630.0;n/a;217.0;471.0;987.0;752.0;897.0
623.0;600.0;849.0;841.0;347.0;139.0;870.0
681.0;n/a;644.0;793.0;893.0;964.0;215.0
441.0;n/a;19.0;763.0;219.0;493.0;87.0
420.0;n/a;593.0;511.0;743.0;282.0;435.0
866.0;834.0;374.0;580.0;447.0;965.0;15.0
4.0;461.0;225.0;642.0;484.0;800.0;113.0
664.0;834.0;989.0;806.0;988.0;440.0;688.0
178.0;994.0;615.0;331.0;736.0;780.0;330.0
603.0;947.0;952.0;380.0;830.0;162.0;250.0
584.0;n/a;383.0;490.0;633.0;266.0;377.0
935.0;n/a;536.0;46.0;65.0;586.0;606.0
283.0;430.0;672.0;621.0;381.0;788.0;117.0
716.0;51.0;314.0;745.0;353.0;710.0;677.0
441.0;174.0;122.0;527.0;896.0;390.0;940.0
728.0;238.0;970.0;241.0;628.0;817.0;398.0
455.0;n/a;242.0;508.0;381.0;59.0;283.0
906.0;505.0;321.0;73.0;998.0;43.0;118.0
722.0;n/a;377.0;303.0;170.0;673.0;918.0
472.0;n/a;299.0;301.0;800.0;427.0;543.0
436.0;n/a;621.0;219.0;286.0;663.0;606.0
413.0;834.0;530.0;472.0;657.0;817.0;140.0
489.0;2.0;40.0;660.0;124.0;629.0;856.0
720.0;n/a;945.0;586.0;246.0;486.0;476.0
953.0;n/a;286.0;984.0;371.0;350.0;411.0
767.0;n/a;242.0;340.0;653.0;779.0;502.0
276.0;49.0;451.0;212.0;793.0;383.0;301.0
24.0;n/a;763.0;390.0;842.0;804.0;493.0
359.0;n/a;945.0;443.0;553.0;945.0;207.0
524.0;n/a;748.0;968.0;802.0;638.0;962.0
820.0;679.0;380.0;425.0;881.0;688.0;639.0
847.0;169.0;49.0;653.0;553.0;306.0;699.0
86.0;n/a;445.0;780.0;654.0;932.0;694.0
416.0;83.0;118.0;997.0;286.0;726.0;630.0
153.0;n/a;800.0;669.0;827.0;304.0;122.0
106.0;295.0;68.0;126.0;937.0;573.0;690.0
868.0;407.0;317.0;846.0;961.0;365.0;941.0
640.0;n/a;389.0;248.0;519.0;140.0;360.0
479.0;455.0;247.0;172.0;777.0;291.0;927.0
471.0;424.0;769.0;47.0;945.0;631.0;967.0
224.0;n/a;265.0;693.0;403.0;597.0;915.0
819.0;n/a;782.0;63.0;694.0;259.0;996.0
467.0;445.0;413.0;650.0;146.0;123.0;344.0
865.0;n/a;981.0;662.0;701.0;285.0;789.0
302.0;n/a;633.0;53.0;296.0;965.0;720.0
289.0;311.0;959.0;902.0;67.0;162.0;490.0
424.0;941.0;768.0;277.0;246.0;89.0;310.0
312.0;343.0;506.0;394.0;418.0;450.0;305.0
746.0;935.0;232.0;208.0;675.0;669.0;35.0
455.0;195.0;967.0;347.0;141.0;18.0;936.0
228.0;165.0;814.0;801.0;170.0;928.0;727.0
570.0;870.0;759.0;870.0;808.0;487.0;802.0
235.0;211.0;899.0;832.0;875.0;27.0;322.0
950.0;156.0;757.0;241.0;579.0;975.0;291.0
374.0;n/a;942.0;491.0;561.0;989.0;153.0
835.0;n/a;438.0;586.0;296.0;810.0;720.0
69.0;n/a;19.0;557.0;989.0;520.0;51.0
56.0;n/a;971.0;602.0;606.0;702.0;935.0
43.0;130.0;485.0;381.0;584.0;499.0;791.0
415.0;786.0;275.0;471.0;714.0;487.0;714.0
597.0;n/a;82.0;545.0;854.0;628.0;824.0
277.0;n/a;45.0;997.0;476.0;724.0;952.0
178.0;n/a;824.0;787.0;892.0;822.0;393.0
777.0;760.0;177.0;385.0;117.0;342.0;734.0
567.0;n/a;361.0;518.0;108.0;720.0;342.0
348.0;n/a;289.0;723.0;440.0;604.0;51.0
388.0;n/a;807.0;722.0;703.0;740.0;218.0
818.0;n/a;764.0;935.0;472.0;519.0;34.0
293.0;n/a;664.0;210.0;548.0;159.0;940.0
552.0;211.0;967.0;430.0;981.0;413.0;649.0
910.0;n/a;425.0;706.0;400.0;630.0;383.0
144.0;n/a;951.0;838.0;4.0;242.0;330.0
519.0;n/a;633.0;465.0;384.0;307.0;975.0
353.0;n/a;436.0;833.0;510.0;820.0;575.0
603.0;14.0;279.0;903.0;146.0;587.0;447.0
224.0;676.0;965.0;925.0;557.0;200.0;14.0
765.0;183.0;17.0;861.0;912.0;751.0;504.0
600.0;n/a;102.0;823.0;100.0;621.0;628.0
938.0;n/a;146.0;300.0;243.0;949.0;921.0
435.0;n/a;181.0;226.0;507.0;435.0;50.0
531.0;502.0;334.0;687.0;229.0;592.0;905.0
305.0;n/a;25.0;466.0;367.0;436.0;8.0
99.0;624.0;615.0;126.0;761.0;227.0;10.0
994.0;664.0;778.0;859.0;479.0;164.0;41.0
235.0;238.0;164.0;681.0;214.0;907.0;998.0
744.0;622.0;205.0;689.0;930.0;446.0;698.0
628.0;n/a;487.0;204.0;52.0;648.0;8.0
672.0;820.0;476.0;944.0;709.0;945.0;254.0
34.0;132.0;184.0;204.0;533.0;888.0;657.0
540.0;373.0;471.0;660.0;197.0;300.0;211.0
161.0;769.0;638.0;880.0;56.0;782.0;458.0
335.0;n/a;760.0;714.0;57.0;145.0;823.0
632.0;n/a;37.0;167.0;263.0;265.0;256.0
977.0;125.0;219.0;585.0;714.0;882.0;467.0
752.0;n/a;306.0;553.0;562.0;907.0;66.0
397.0;n/a;746.0;818.0;345.0;793.0;738.0
749.0;n/a;183.0;745.0;114.0;417.0;223.0
138.0;n/a;475.0;874.0;666.0;234.0;363.0
134.0;182.0;186.0;966.0;968.0;326.0;884.0
768.0;n/a;521.0;782.0;651.0;854.0;988.0
689.0;n/a;68.0;777.0;964.0;277.0;764.0
688.0;644.0;102.0;404.0;444.0;374.0;783.0
446.0;n/a;107.0;219.0;572.0;90.0;607.0
61.0;9.0;936.0;326.0;996.0;276.0;749.0
840.0;n/a;340.0;414.0;748.0;548.0;857.0
512.0;548.0;848.0;968.0;585.0;908.0;18.0
16.0;638.0;842.0;537.0;969.0;927.0;546.0
584.0;597.0;747.0;95.0;150.0;157.0;872.0
956.0;72.0;551.0;617.0;731.0;500.0;223.0
939.0;167.0;663.0;458.0;784.0;617.0;974.0
932.0;n/a;598.0;866.0;720.0;832.0;762.0
373.0;404.0;36.0;735.0;316.0;542.0;163.0
922.0;475.0;728.0;689.0;872.0;146.0;624.0
212.0;838.0;294.0;272.0;261.0;927.0;295.0
125.0;280.0;468.0;333.0;952.0;607.0;571.0
845.0;241.0;157.0;173.0;151.0;510.0;337.0
235.0;n/a;646.0;957.0;763.0;888.0;954.0
769.0;n/a;900.0;519.0;551.0;506.0;767.0
151.0;791.0;765.0;284.0;808.0;946.0;114.0
631.0;66.0;424.0;465.0;751.0;467.0;430.0
286.0;n/a;419.0;776.0;895.0;384.0;78.0
146.0;904.0;491.0;682.0;468.0;839.0;420.0
419.0;n/a;713.0;12.0;561.0;449.0;405.0
817.0;n/a;381.0;195.0;45.0;42.0;736.0
654.0;n/a;591.0;829.0;469.0;857.0;753.0
387.0;804.0;714.0;495.0;481.0;753.0;702.0
926.0;95.0;729.0;224.0;498.0;495.0;356.0
682.0;990.0;434.0;369.0;878.0;759.0;886.0
250.0;61.0;231.0;167.0;839.0;444.0;693.0
956.0;n/a;884.0;618.0;5.0;802.0;205.0
586.0;980.0;744.0;208.0;545.0;562.0;106.0
443.0;479.0;961.0;58.0;759.0;588.0;71.0
405.0;n/a;363.0;76.0;920.0;281.0;607.0
588.0;n/a;503.0;286.0;771.0;970.0;46.0
456.0;n/a;992.0;68.0;627.0;292.0;215.0
431.0;n/a;722.0;710.0;282.0;113.0;809.0
726.0;502.0;596.0;86.0;299.0;959.0;430.0
321.0;n/a;186.0;655.0;990.0;619.0;128.0
685.0;456.0;899.0;775.0;675.0;7.0;182.0
315.0;n/a;356.0;638.0;432.0;187.0;452.0
590.0;n/a;477.0;817.0;31.0;757.0;926.0
3.0;n/a;755.0;627.0;37.0;761.0;584.0
454.0;n/a;719.0;661.0;286.0;104.0;71.0
862.0;n/a;10.0;145.0;328.0;762.0;261.0
181.0;345.0;34.0;369.0;22.0;881.0;512.0
643.0;857.0;835.0;420.0;551.0;67.0;652.0
291.0;n/a;140.0;537.0;642.0;631.0;459.0
671.0;594.0;74.0;390.0;913.0;404.0;701.0
266.0;177.0;496.0;840.0;346.0;413.0;21.0
191.0;575.0;562.0;611.0;877.0;825.0;782.0
810.0;229.0;458.0;152.0;94.0;770.0;53.0
41.0;n/a;61.0;650.0;806.0;352.0;365.0
658.0;74.0;141.0;730.0;827.0;232.0;635.0
393.0;n/a;858.0;172.0;610.0;382.0;157.0
166.0;699.0;114.0;104.0;787.0;209.0;295.0
635.0;164.0;337.0;328.0;536.0;783.0;283.0
76.0;513.0;131.0;22.0;293.0;596.0;257.0
363.0;n/a;479.0;854.0;716.0;557.0;292.0
772.0;882.0;912.0;310.0;790.0;392.0;893.0
674.0;686.0;191.0;568.0;946.0;123.0;120.0
634.0;648.0;808.0;806.0;639.0;541.0;879.0
156.0;47.0;70.0;137.0;559.0;882.0;108.0
772.0;245.0;316.0;465.0;9.0;120.0;724.0
291.0;766.0;864.0;956.0;639.0;761.0;74.0
807.0;n/a;670.0;881.0;639.0;965.0;778.0
256.0;n/a;317.0;587.0;946.0;530.0;206.0
891.0;n/a;797.0;318.0;605.0;151.0;895.0
929.0;224.0;668.0;156.0;36.0;610.0;825.0
293.0;n/a;610.0;928.0;510.0;162.0;27.0
312.0;n/a;737.0;247.0;499.0;818.0;506.0
669.0;636.0;444.0;998.0;946.0;188.0;498.0
403.0;n/a;587.0;289.0;964.0;986.0;739.0
568.0;885.0;331.0;844.0;117.0;533.0;10.0
700.0;n/a;335.0;323.0;796.0;785.0;103.0
113.0;n/a;911.0;617.0;499.0;814.0;539.0
671.0;n/a;928.0;851.0;418.0;243.0;882.0
434.0;565.0;678.0;53.0;822.0;830.0;191.0
739.0;n/a;691.0;351.0;103.0;144.0;801.0
