BillingInfoNode;ProcessReservationNode;SelectModeOfReciptNode;PaymentInfoNode;ProcessPaymentNode;TravelInfoNode
961.0;115.0;547.0;522.0;34.0;445.0
766.0;941.0;247.0;625.0;374.0;839.0
211.0;89.0;677.0;963.0;716.0;642.0
748.0;40.0;984.0;828.0;777.0;875.0
362.0;377.0;610.0;586.0;65.0;852.0
626.0;183.0;260.0;935.0;533.0;692.0
854.0;457.0;247.0;273.0;484.0;682.0
985.0;35.0;109.0;372.0;607.0;122.0
612.0;712.0;495.0;243.0;543.0;631.0
148.0;424.0;665.0;611.0;461.0;567.0
932.0;823.0;17.0;85.0;106.0;960.0
763.0;245.0;599.0;647.0;602.0;585.0
103.0;425.0;344.0;832.0;292.0;653.0
754.0;801.0;722.0;996.0;570.0;549.0
999.0;728.0;135.0;272.0;589.0;983.0
519.0;781.0;395.0;566.0;632.0;881.0
790.0;213.0;949.0;909.0;506.0;366.0
172.0;64.0;475.0;92.0;913.0;70.0
962.0;144.0;887.0;64.0;855.0;376.0
210.0;152.0;391.0;73.0;915.0;659.0
520.0;116.0;646.0;181.0;282.0;411.0
561.0;73.0;203.0;583.0;904.0;768.0
130.0;695.0;530.0;616.0;536.0;693.0
439.0;406.0;413.0;520.0;43.0;908.0
305.0;758.0;789.0;332.0;563.0;751.0
11.0;970.0;865.0;202.0;481.0;655.0
720.0;77.0;657.0;346.0;256.0;361.0
724.0;867.0;890.0;685.0;185.0;145.0
357.0;112.0;458.0;417.0;688.0;623.0
764.0;380.0;209.0;504.0;153.0;318.0
814.0;808.0;506.0;154.0;365.0;195.0
490.0;32.0;817.0;133.0;371.0;64.0
982.0;592.0;313.0;436.0;220.0;188.0
765.0;258.0;746.0;50.0;856.0;245.0
992.0;793.0;823.0;449.0;881.0;41.0
239.0;553.0;323.0;272.0;541.0;210.0
490.0;552.0;573.0;441.0;204.0;610.0
72.0;963.0;51.0;463.0;41.0;296.0
321.0;269.0;432.0;784.0;82.0;312.0
390.0;892.0;199.0;150.0;652.0;496.0
708.0;98.0;447.0;695.0;846.0;401.0
439.0;509.0;335.0;37.0;691.0;527.0
476.0;126.0;857.0;972.0;124.0;482.0
708.0;259.0;194.0;898.0;13.0;465.0
533.0;955.0;629.0;314.0;436.0;640.0
159.0;290.0;865.0;356.0;90.0;879.0
524.0;849.0;709.0;995.0;370.0;633.0
425.0;942.0;349.0;922.0;729.0;406.0
129.0;978.0;923.0;981.0;326.0;977.0
40.0;944.0;555.0;998.0;48.0;628.0
81.0;463.0;344.0;662.0;464.0;751.0
166.0;764.0;427.0;172.0;951.0;483.0
819.0;479.0;146.0;429.0;448.0;143.0
428.0;167.0;361.0;61.0;451.0;209.0
110.0;925.0;923.0;900.0;408.0;32.0
282.0;585.0;975.0;132.0;839.0;154.0
174.0;875.0;624.0;23.0;208.0;341.0
655.0;333.0;619.0;821.0;638.0;134.0
707.0;997.0;868.0;677.0;765.0;775.0
59.0;781.0;627.0;106.0;157.0;453.0
154.0;861.0;465.0;73.0;973.0;120.0
404.0;699.0;198.0;186.0;929.0;357.0
94.0;309.0;579.0;665.0;566.0;78.0
64.0;686.0;39.0;341.0;847.0;407.0
917.0;211.0;147.0;862.0;986.0;540.0
681.0;205.0;800.0;536.0;333.0;201.0
507.0;433.0;926.0;48.0;165.0;297.0
612.0;664.0;637.0;273.0;46.0;687.0
279.0;994.0;796.0;936.0;564.0;413.0
820.0;369.0;925.0;132.0;144.0;827.0
937.0;963.0;310.0;989.0;510.0;817.0
645.0;652.0;667.0;176.0;173.0;26.0
418.0;350.0;370.0;480.0;676.0;556.0
209.0;411.0;262.0;341.0;443.0;450.0
15.0;247.0;554.0;537.0;226.0;38.0
263.0;848.0;609.0;302.0;749.0;349.0
951.0;381.0;792.0;442.0;10.0;529.0
19.0;313.0;523.0;698.0;911.0;718.0
606.0;206.0;938.0;449.0;85.0;518.0
42.0;797.0;499.0;738.0;24.0;44.0
989.0;276.0;828.0;733.0;394.0;911.0
314.0;461.0;92.0;103.0;45.0;98.0
564.0;375.0;720.0;805.0;343.0;34.0
86.0;554.0;840.0;590.0;51.0;658.0
637.0;858.0;430.0;433.0;377.0;3.0
411.0;184.0;847.0;65.0;603.0;595.0
707.0;216.0;844.0;592.0;415.0;144.0
653.0;619.0;794.0;152.0;15.0;37.0
247.0;259.0;18.0;386.0;193.0;254.0
635.0;226.0;781.0;413.0;538.0;521.0
451.0;950.0;797.0;287.0;832.0;475.0
374.0;158.0;989.0;692.0;299.0;773.0
15.0;344.0;962.0;124.0;738.0;914.0
208.0;436.0;960.0;120.0;360.0;210.0
278.0;539.0;79.0;201.0;854.0;422.0
300.0;870.0;684.0;874.0;921.0;769.0
118.0;395.0;733.0;641.0;740.0;785.0
133.0;701.0;814.0;436.0;833.0;221.0
385.0;533.0;218.0;987.0;479.0;288.0
649.0;954.0;282.0;797.0;611.0;549.0
426.0;366.0;291.0;497.0;360.0;353.0
561.0;913.0;489.0;366.0;775.0;529.0
600.0;195.0;300.0;45.0;951.0;296.0
793.0;477.0;733.0;170.0;378.0;228.0
414.0;182.0;603.0;584.0;317.0;172.0
783.0;102.0;772.0;991.0;10.0;923.0
881.0;73.0;393.0;575.0;592.0;58.0
929.0;445.0;698.0;596.0;280.0;638.0
162.0;645.0;423.0;596.0;784.0;812.0
631.0;276.0;876.0;672.0;403.0;966.0
374.0;821.0;699.0;45.0;608.0;722.0
23.0;322.0;365.0;501.0;844.0;567.0
104.0;994.0;245.0;944.0;281.0;292.0
94.0;471.0;901.0;226.0;614.0;410.0
416.0;148.0;531.0;685.0;354.0;821.0
542.0;43.0;262.0;953.0;506.0;244.0
468.0;967.0;929.0;294.0;574.0;617.0
153.0;473.0;918.0;628.0;227.0;619.0
7.0;607.0;273.0;339.0;86.0;96.0
231.0;570.0;916.0;27.0;967.0;858.0
882.0;55.0;560.0;927.0;321.0;695.0
413.0;288.0;216.0;186.0;352.0;477.0
626.0;490.0;476.0;827.0;877.0;352.0
694.0;670.0;623.0;672.0;813.0;253.0
326.0;153.0;349.0;470.0;633.0;16.0
518.0;382.0;838.0;627.0;439.0;217.0
896.0;889.0;131.0;615.0;340.0;552.0
483.0;733.0;895.0;663.0;485.0;922.0
935.0;175.0;132.0;627.0;161.0;967.0
516.0;814.0;349.0;872.0;626.0;831.0
155.0;929.0;64.0;340.0;172.0;640.0
234.0;144.0;972.0;851.0;386.0;865.0
320.0;588.0;872.0;890.0;628.0;411.0
538.0;529.0;839.0;58.0;373.0;312.0
976.0;682.0;616.0;878.0;756.0;90.0
460.0;773.0;731.0;827.0;933.0;634.0
39.0;599.0;287.0;122.0;740.0;87.0
374.0;806.0;713.0;817.0;103.0;278.0
313.0;787.0;510.0;423.0;936.0;905.0
919.0;244.0;109.0;388.0;225.0;147.0
774.0;904.0;564.0;526.0;285.0;270.0
464.0;957.0;245.0;636.0;467.0;546.0
632.0;916.0;869.0;69.0;100.0;898.0
194.0;622.0;47.0;154.0;825.0;739.0
603.0;882.0;468.0;374.0;181.0;764.0
566.0;722.0;665.0;371.0;779.0;842.0
900.0;745.0;979.0;400.0;538.0;805.0
631.0;315.0;234.0;799.0;801.0;414.0
830.0;7.0;679.0;792.0;192.0;855.0
472.0;643.0;194.0;631.0;59.0;397.0
22.0;607.0;775.0;24.0;306.0;876.0
636.0;279.0;854.0;98.0;556.0;110.0
539.0;971.0;865.0;392.0;837.0;636.0
260.0;937.0;514.0;781.0;708.0;940.0
569.0;116.0;785.0;924.0;24.0;833.0
277.0;911.0;960.0;942.0;742.0;410.0
627.0;182.0;763.0;59.0;885.0;902.0
324.0;988.0;236.0;129.0;540.0;575.0
393.0;659.0;785.0;99.0;91.0;791.0
526.0;73.0;695.0;421.0;300.0;965.0
53.0;41.0;570.0;281.0;286.0;346.0
467.0;517.0;74.0;905.0;102.0;137.0
519.0;705.0;977.0;27.0;62.0;583.0
775.0;469.0;944.0;245.0;410.0;814.0
105.0;225.0;594.0;446.0;292.0;862.0
241.0;568.0;471.0;49.0;557.0;66.0
786.0;546.0;107.0;452.0;120.0;51.0
641.0;508.0;658.0;213.0;24.0;560.0
652.0;893.0;324.0;128.0;581.0;479.0
959.0;889.0;546.0;980.0;597.0;863.0
966.0;697.0;378.0;893.0;142.0;838.0
529.0;486.0;28.0;241.0;141.0;101.0
308.0;711.0;119.0;160.0;459.0;834.0
142.0;236.0;167.0;818.0;652.0;991.0
656.0;526.0;898.0;466.0;689.0;538.0
572.0;607.0;331.0;662.0;948.0;660.0
127.0;32.0;939.0;527.0;355.0;10.0
310.0;312.0;509.0;971.0;800.0;804.0
571.0;787.0;656.0;117.0;871.0;732.0
26.0;529.0;274.0;372.0;23.0;267.0
16.0;207.0;109.0;959.0;298.0;128.0
509.0;298.0;120.0;167.0;633.0;740.0
50.0;960.0;957.0;395.0;0.0;746.0
935.0;387.0;503.0;675.0;146.0;363.0
661.0;302.0;831.0;914.0;683.0;25.0
865.0;847.0;762.0;337.0;400.0;676.0
139.0;578.0;281.0;8.0;476.0;268.0
558.0;374.0;913.0;627.0;517.0;599.0
826.0;578.0;891.0;769.0;735.0;537.0
778.0;65.0;802.0;301.0;727.0;464.0
25.0;280.0;863.0;295.0;77.0;568.0
171.0;360.0;473.0;689.0;946.0;600.0
759.0;705.0;6.0;719.0;413.0;437.0
952.0;337.0;170.0;505.0;38.0;65.0
743.0;315.0;209.0;403.0;373.0;767.0
19.0;93.0;534.0;771.0;955.0;665.0
90.0;308.0;205.0;879.0;914.0;766.0
375.0;281.0;989.0;220.0;201.0;819.0
228.0;706.0;208.0;900.0;798.0;910.0
85.0;638.0;154.0;597.0;622.0;561.0
936.0;571.0;279.0;584.0;94.0;978.0
696.0;153.0;934.0;54.0;535.0;898.0
674.0;167.0;729.0;226.0;354.0;111.0
753.0;889.0;184.0;305.0;290.0;306.0
310.0;199.0;402.0;603.0;324.0;580.0
64.0;598.0;248.0;837.0;780.0;617.0
664.0;694.0;964.0;522.0;951.0;997.0
590.0;811.0;294.0;438.0;510.0;429.0
512.0;947.0;230.0;781.0;133.0;251.0
560.0;713.0;334.0;74.0;526.0;854.0
462.0;358.0;608.0;304.0;431.0;607.0
162.0;235.0;375.0;459.0;50.0;80.0
5.0;287.0;500.0;662.0;631.0;409.0
353.0;535.0;45.0;182.0;411.0;693.0
306.0;153.0;22.0;284.0;461.0;91.0
938.0;786.0;431.0;437.0;645.0;278.0
517.0;411.0;193.0;629.0;355.0;242.0
941.0;4.0;946.0;864.0;64.0;312.0
468.0;568.0;135.0;195.0;666.0;484.0
894.0;898.0;350.0;383.0;402.0;89.0
684.0;74.0;603.0;103.0;418.0;28.0
625.0;36.0;485.0;801.0;222.0;832.0
760.0;535.0;742.0;167.0;148.0;518.0
667.0;219.0;855.0;766.0;733.0;406.0
858.0;79.0;71.0;649.0;971.0;717.0
949.0;574.0;534.0;612.0;278.0;66.0
216.0;266.0;533.0;324.0;660.0;190.0
254.0;883.0;948.0;445.0;843.0;276.0
844.0;725.0;109.0;274.0;366.0;600.0
175.0;166.0;268.0;50.0;235.0;177.0
6.0;239.0;438.0;748.0;414.0;839.0
925.0;195.0;247.0;4.0;699.0;939.0
309.0;29.0;779.0;538.0;473.0;402.0
610.0;539.0;12.0;788.0;952.0;979.0
41.0;602.0;777.0;911.0;920.0;375.0
68.0;903.0;12.0;961.0;767.0;165.0
699.0;581.0;797.0;611.0;701.0;801.0
554.0;222.0;876.0;120.0;459.0;915.0
221.0;170.0;691.0;111.0;33.0;912.0
705.0;575.0;771.0;617.0;392.0;196.0
851.0;96.0;899.0;852.0;397.0;19.0
800.0;777.0;787.0;862.0;266.0;683.0
71.0;98.0;487.0;59.0;114.0;842.0
699.0;320.0;508.0;458.0;247.0;696.0
5.0;99.0;878.0;949.0;453.0;412.0
285.0;580.0;783.0;942.0;995.0;580.0
711.0;354.0;188.0;724.0;66.0;133.0
172.0;374.0;993.0;951.0;606.0;642.0
378.0;905.0;926.0;312.0;219.0;178.0
687.0;73.0;487.0;638.0;966.0;756.0
556.0;97.0;399.0;164.0;517.0;445.0
433.0;33.0;35.0;358.0;773.0;131.0
43.0;934.0;64.0;730.0;783.0;627.0
648.0;300.0;304.0;777.0;917.0;674.0
181.0;542.0;227.0;832.0;468.0;670.0
221.0;959.0;81.0;408.0;483.0;642.0
274.0;596.0;936.0;834.0;562.0;38.0
510.0;681.0;699.0;708.0;115.0;728.0
908.0;811.0;177.0;39.0;436.0;199.0
140.0;221.0;307.0;413.0;236.0;366.0
327.0;459.0;617.0;201.0;211.0;815.0
829.0;35.0;625.0;470.0;872.0;830.0
642.0;519.0;282.0;287.0;636.0;643.0
57.0;162.0;743.0;814.0;70.0;984.0
349.0;758.0;811.0;186.0;754.0;507.0
780.0;269.0;332.0;28.0;896.0;631.0
737.0;609.0;733.0;462.0;540.0;466.0
11.0;799.0;69.0;169.0;585.0;563.0
457.0;604.0;703.0;998.0;607.0;91.0
218.0;888.0;840.0;622.0;493.0;578.0
523.0;705.0;898.0;80.0;707.0;718.0
714.0;211.0;275.0;723.0;115.0;411.0
91.0;798.0;747.0;711.0;516.0;670.0
522.0;267.0;868.0;248.0;82.0;32.0
95.0;81.0;361.0;842.0;133.0;113.0
19.0;404.0;919.0;611.0;859.0;464.0
156.0;586.0;317.0;782.0;912.0;679.0
851.0;251.0;835.0;551.0;605.0;780.0
995.0;958.0;539.0;120.0;997.0;188.0
519.0;999.0;76.0;731.0;970.0;589.0
138.0;694.0;661.0;836.0;82.0;510.0
689.0;881.0;396.0;881.0;414.0;348.0
816.0;806.0;749.0;669.0;111.0;27.0
988.0;748.0;836.0;757.0;855.0;521.0
308.0;160.0;660.0;116.0;237.0;714.0
227.0;115.0;971.0;862.0;124.0;859.0
639.0;357.0;556.0;898.0;634.0;812.0
895.0;729.0;275.0;925.0;580.0;58.0
327.0;969.0;543.0;170.0;22.0;172.0
487.0;296.0;399.0;962.0;190.0;624.0
966.0;588.0;263.0;997.0;781.0;246.0
295.0;549.0;796.0;943.0;49.0;280.0
125.0;461.0;480.0;770.0;970.0;767.0
217.0;303.0;969.0;596.0;140.0;950.0
214.0;284.0;578.0;377.0;117.0;13.0
194.0;681.0;476.0;484.0;55.0;869.0
814.0;124.0;937.0;762.0;72.0;483.0
908.0;871.0;225.0;894.0;502.0;801.0
317.0;194.0;608.0;806.0;96.0;500.0
564.0;223.0;958.0;864.0;151.0;367.0
216.0;219.0;277.0;299.0;360.0;96.0
68.0;601.0;592.0;275.0;66.0;698.0
677.0;172.0;879.0;847.0;96.0;268.0
606.0;526.0;90.0;789.0;811.0;48.0
986.0;147.0;514.0;473.0;980.0;120.0
476.0;229.0;957.0;858.0;972.0;991.0
501.0;985.0;581.0;550.0;327.0;872.0
20.0;131.0;91.0;970.0;878.0;610.0
646.0;748.0;223.0;504.0;452.0;525.0
265.0;908.0;268.0;718.0;855.0;18.0
531.0;59.0;294.0;662.0;756.0;779.0
941.0;430.0;573.0;569.0;622.0;66.0
438.0;435.0;18.0;904.0;299.0;522.0
312.0;103.0;13.0;737.0;687.0;500.0
688.0;817.0;455.0;623.0;650.0;537.0
142.0;145.0;827.0;498.0;331.0;568.0
2.0;813.0;829.0;712.0;707.0;942.0
336.0;805.0;337.0;426.0;170.0;614.0
526.0;271.0;721.0;141.0;995.0;755.0
413.0;344.0;722.0;694.0;176.0;864.0
338.0;524.0;786.0;569.0;958.0;475.0
538.0;902.0;111.0;842.0;754.0;644.0
579.0;270.0;403.0;517.0;284.0;262.0
369.0;190.0;877.0;967.0;368.0;72.0
483.0;923.0;959.0;210.0;174.0;332.0
572.0;695.0;481.0;217.0;150.0;175.0
659.0;96.0;674.0;678.0;624.0;307.0
904.0;867.0;696.0;733.0;284.0;38.0
411.0;849.0;399.0;11.0;631.0;500.0
707.0;845.0;950.0;745.0;127.0;405.0
83.0;433.0;884.0;49.0;421.0;456.0
483.0;814.0;43.0;542.0;903.0;270.0
181.0;949.0;963.0;72.0;468.0;340.0
395.0;828.0;194.0;275.0;134.0;766.0
550.0;4.0;745.0;822.0;558.0;901.0
114.0;217.0;188.0;694.0;998.0;445.0
399.0;826.0;727.0;754.0;927.0;20.0
148.0;389.0;718.0;609.0;229.0;414.0
132.0;513.0;305.0;670.0;582.0;452.0
961.0;618.0;766.0;235.0;998.0;109.0
953.0;31.0;923.0;473.0;724.0;243.0
579.0;923.0;824.0;571.0;165.0;618.0
67.0;413.0;473.0;618.0;992.0;194.0
912.0;734.0;441.0;137.0;10.0;665.0
464.0;972.0;871.0;5.0;194.0;413.0
845.0;747.0;367.0;948.0;887.0;11.0
266.0;128.0;660.0;610.0;580.0;842.0
501.0;107.0;675.0;400.0;971.0;152.0
593.0;566.0;602.0;68.0;914.0;263.0
920.0;836.0;804.0;799.0;579.0;17.0
287.0;556.0;311.0;833.0;963.0;806.0
218.0;917.0;158.0;156.0;824.0;874.0
709.0;699.0;401.0;634.0;257.0;653.0
254.0;284.0;311.0;819.0;112.0;371.0
781.0;461.0;164.0;683.0;843.0;59.0
909.0;92.0;615.0;367.0;498.0;678.0
725.0;175.0;664.0;161.0;271.0;535.0
64.0;424.0;54.0;846.0;235.0;851.0
562.0;355.0;241.0;345.0;186.0;927.0
76.0;637.0;775.0;229.0;576.0;204.0
69.0;406.0;485.0;588.0;669.0;419.0
76.0;349.0;647.0;465.0;749.0;881.0
805.0;147.0;407.0;734.0;35.0;907.0
923.0;915.0;446.0;978.0;906.0;150.0
398.0;490.0;332.0;652.0;770.0;175.0
83.0;570.0;569.0;605.0;598.0;567.0
396.0;593.0;384.0;663.0;551.0;471.0
529.0;250.0;554.0;426.0;245.0;527.0
808.0;442.0;93.0;400.0;30.0;386.0
644.0;677.0;206.0;776.0;626.0;172.0
666.0;129.0;975.0;693.0;897.0;31.0
424.0;19.0;123.0;315.0;486.0;444.0
337.0;235.0;555.0;969.0;433.0;241.0
549.0;988.0;90.0;52.0;548.0;193.0
477.0;602.0;778.0;726.0;325.0;85.0
409.0;924.0;903.0;529.0;270.0;898.0
186.0;427.0;65.0;296.0;433.0;719.0
714.0;45.0;618.0;942.0;918.0;298.0
971.0;568.0;645.0;459.0;320.0;197.0
890.0;917.0;622.0;817.0;915.0;101.0
679.0;540.0;385.0;980.0;44.0;425.0
203.0;331.0;240.0;192.0;77.0;682.0
904.0;20.0;263.0;109.0;39.0;61.0
492.0;36.0;800.0;610.0;186.0;390.0
612.0;398.0;961.0;179.0;19.0;833.0
913.0;638.0;269.0;460.0;813.0;583.0
825.0;506.0;605.0;118.0;635.0;662.0
852.0;894.0;48.0;792.0;948.0;388.0
962.0;582.0;648.0;395.0;428.0;484.0
638.0;55.0;993.0;809.0;904.0;308.0
384.0;653.0;881.0;23.0;783.0;435.0
667.0;444.0;92.0;471.0;389.0;235.0
2.0;577.0;819.0;62.0;315.0;274.0
310.0;629.0;678.0;610.0;119.0;357.0
538.0;211.0;785.0;63.0;209.0;37.0
465.0;982.0;229.0;588.0;672.0;658.0
805.0;954.0;184.0;634.0;154.0;354.0
419.0;646.0;668.0;259.0;684.0;525.0
219.0;548.0;6.0;797.0;585.0;432.0
890.0;158.0;671.0;439.0;850.0;230.0
940.0;574.0;69.0;462.0;128.0;176.0
953.0;368.0;185.0;228.0;169.0;372.0
92.0;191.0;723.0;224.0;248.0;630.0
772.0;808.0;947.0;447.0;846.0;812.0
732.0;754.0;823.0;869.0;141.0;948.0
942.0;426.0;160.0;983.0;5.0;597.0
722.0;913.0;371.0;33.0;852.0;638.0
488.0;263.0;599.0;937.0;344.0;364.0
490.0;342.0;590.0;50.0;362.0;559.0
830.0;851.0;571.0;996.0;395.0;891.0
639.0;272.0;233.0;51.0;790.0;409.0
930.0;671.0;511.0;272.0;127.0;337.0
186.0;270.0;229.0;882.0;185.0;460.0
96.0;143.0;107.0;725.0;786.0;147.0
564.0;390.0;214.0;787.0;748.0;217.0
519.0;346.0;137.0;797.0;572.0;837.0
266.0;462.0;754.0;360.0;632.0;153.0
326.0;581.0;149.0;335.0;320.0;972.0
220.0;306.0;624.0;682.0;431.0;717.0
442.0;563.0;867.0;170.0;238.0;689.0
505.0;753.0;731.0;906.0;171.0;209.0
332.0;607.0;389.0;667.0;686.0;659.0
650.0;191.0;88.0;600.0;862.0;933.0
681.0;0.0;743.0;458.0;754.0;377.0
755.0;683.0;673.0;784.0;643.0;312.0
449.0;624.0;869.0;757.0;25.0;435.0
852.0;587.0;594.0;656.0;258.0;479.0
317.0;568.0;1.0;237.0;296.0;142.0
627.0;770.0;820.0;88.0;533.0;98.0
377.0;66.0;600.0;909.0;887.0;402.0
854.0;389.0;673.0;760.0;351.0;660.0
741.0;135.0;618.0;350.0;706.0;270.0
11.0;131.0;652.0;31.0;633.0;208.0
711.0;954.0;864.0;718.0;294.0;407.0
756.0;583.0;102.0;124.0;678.0;123.0
505.0;585.0;738.0;474.0;318.0;78.0
227.0;673.0;180.0;439.0;801.0;536.0
712.0;616.0;67.0;105.0;307.0;864.0
38.0;75.0;215.0;64.0;624.0;751.0
228.0;694.0;462.0;256.0;714.0;95.0
204.0;579.0;701.0;664.0;536.0;48.0
322.0;872.0;432.0;14.0;138.0;104.0
438.0;95.0;704.0;358.0;964.0;119.0
489.0;473.0;403.0;177.0;902.0;246.0
172.0;314.0;218.0;143.0;940.0;582.0
370.0;242.0;682.0;635.0;271.0;244.0
480.0;442.0;876.0;383.0;411.0;522.0
530.0;677.0;666.0;989.0;601.0;326.0
714.0;888.0;70.0;366.0;408.0;79.0
390.0;419.0;271.0;958.0;79.0;54.0
843.0;313.0;660.0;491.0;210.0;36.0
658.0;375.0;64.0;560.0;291.0;952.0
1.0;731.0;163.0;731.0;880.0;746.0
778.0;311.0;824.0;613.0;155.0;59.0
722.0;46.0;502.0;732.0;973.0;186.0
104.0;575.0;494.0;439.0;880.0;218.0
603.0;459.0;795.0;959.0;156.0;656.0
317.0;178.0;240.0;207.0;321.0;472.0
384.0;454.0;372.0;312.0;396.0;750.0
826.0;149.0;867.0;144.0;91.0;398.0
657.0;83.0;342.0;543.0;512.0;891.0
44.0;401.0;244.0;633.0;564.0;194.0
964.0;420.0;429.0;19.0;223.0;647.0
826.0;70.0;638.0;488.0;256.0;233.0
24.0;820.0;120.0;238.0;832.0;640.0
756.0;224.0;794.0;313.0;371.0;194.0
226.0;45.0;65.0;883.0;339.0;473.0
116.0;415.0;270.0;102.0;425.0;316.0
556.0;243.0;783.0;201.0;620.0;722.0
822.0;767.0;970.0;172.0;263.0;374.0
